Subject,Genuine_Mean,Genuine_Std,Nearest_Impostor_Subject,Nearest_Impostor_Sim,Safety_Margin
s21,0.791137945,0.067362414,s18,0.306388981,0.484748964
s02,0.909292487,0.04019062,s28,0.432762101,0.476530386
s34,0.745629414,0.082808738,s00,0.332648263,0.412981151
s18,0.811083735,0.077162262,s11,0.431161759,0.379921976
s32,0.843382971,0.096293819,s12,0.469652663,0.373730309
s19,0.836597431,0.076882818,s16,0.468547518,0.368049913
s20,0.783861796,0.110625251,s04,0.428981546,0.35488025
s04,0.840077083,0.055229189,s15,0.523232204,0.316844879
s28,0.799016689,0.07022796,s00,0.511022612,0.287994077
s29,0.893850812,0.044270092,s00,0.613132894,0.280717918
s05,0.7378184,0.13473298,s25,0.470007827,0.267810573
s12,0.857386903,0.084901656,s29,0.609457328,0.247929576
s35,0.776127657,0.080539177,s16,0.539419417,0.236708241
s06,0.858074163,0.102903545,s11,0.637231051,0.220843112
s11,0.850174529,0.04732676,s06,0.637231051,0.212943478
s14,0.707162577,0.161200797,s13,0.496523583,0.210638994
s17,0.714188485,0.118458325,s13,0.504524487,0.209663998
s30,0.737327466,0.111919465,s10,0.547268789,0.190058677
s25,0.87197247,0.084800543,s23,0.684610925,0.187361545
s03,0.75120055,0.115094688,s26,0.564443098,0.186757452
s01,0.599637516,0.119833678,s04,0.43081365,0.168823866
s08,0.749769472,0.096834744,s33,0.585875552,0.16389392
s16,0.684176141,0.226401122,s35,0.539419417,0.144756724
s27,0.624709182,0.241972948,s35,0.486529273,0.138179909
s15,0.651562171,0.160647153,s04,0.523232204,0.128329967
s24,0.679266495,0.124449607,s06,0.556728352,0.122538143
s09,0.724284417,0.117891035,s26,0.610010693,0.114273724
s13,0.888716011,0.043252736,s26,0.776809898,0.111906112
s31,0.576223546,0.133220448,s11,0.471436934,0.104786612
s22,0.527915099,0.114503154,s04,0.424810545,0.103104554
s07,0.628946853,0.179199951,s13,0.526974804,0.101972049
s10,0.645707186,0.103384651,s30,0.547268789,0.098438397
s00,0.711491704,0.229520877,s29,0.613132894,0.09835881
s23,0.73892157,0.15594029,s25,0.684610925,0.054310645
s33,0.67049215,0.099360858,s26,0.632618894,0.037873256
s26,0.793604701,0.094079527,s13,0.776809898,0.016794802
